page,page_title,active_visitors
petitions.whitehouse.gov/petition/we-people-demand-justice-former-nypd-officer-peter-liang,"We the people, demand justice for former NYPD officer Peter Liang | We the People: Your Voice in Our Government",39
socialsecurity.gov/retire/estimator.html,Retirement Estimator,39
uscis.gov/citizenship/learners/apply-citizenship,Apply for Citizenship | USCIS,39
uscis.gov/green-card/green-card-through-job/previous-pending-employment-based-i-485-inventory/pending-employment-based-i-485-inventory,Pending Employment-Based I-485 Inventory | USCIS,39
archives.gov/veterans/military-service-records/,Start Your Military Service Record (DD Form 214) Request,38
faq.ssa.gov/link/portal/34011/34019/article/3755/how-do-i-apply-for-a-new-or-replacement-social-security-number-card,How do I apply for a new or replacement Social Security number card?,38
foodsafety.gov/keep/charts/storagetimes.html,Storage Times for the Refrigerator and Freezer | FoodSafety.gov,38
irs.gov/uac/about-form-1095-c,"Form 1095-C, Employer-Provided Health Insurance Offer and Coverage Insurance",38
irs.gov/uac/where-to-file-addresses-for--taxpayers-and--tax-professionals-filing-form-1040,Where to File Addresses for Taxpayers and Tax Professionals Filing Form 1040,38
my.usajobs.gov/applicant/resume/listresumes,USAJOBS - Resumes,38
nrcs.usda.gov/wps/portal/nrcs/main/national/people/employees/,NRCS Employees | NRCS,38
ssa.gov/retire/apply.html,How to Apply Online For Social Security Retirement Benefits,38
uspto.gov/patents-application-process/applying-online/about-efs-web,About EFS-Web | USPTO,38
wrh.noaa.gov/lox/,National Weather Service - NWS Los Angeles/Oxnard,38
"irs.gov/uac/form-1098-t,-tuition-statement","Form 1098-T, Tuition Statement",37
irs.gov/uac/newsroom/irs-issues-nine-out-of-10-refunds-in-less-than-21-days,IRS Issues Nine Out of 10 Refunds in Less than 21 Days,37
safercar.gov/checkforrecalls,. | Safercar -- National Highway Traffic Safety Administration (NHTSA),37
cdc.gov/zika/index.html,Zika Virus | CDC,36
ceac.state.gov/genniv/general/review/review_reviewtravel.aspx?node=reviewtravel,Non-Immigrant Visa - Review Travel Information,36
irs.gov/credits-&-deductions/individuals/earned-income-tax-credit/eitc-income-limits-maximum-credit-amounts,"2015 EITC Income Limits, Maximum Credit Amounts and Tax Law Updates",36
irs.gov/uac/about-publication-17,"Publication 17, Your Federal Income Tax",36
irs.gov/uac/here-is-what-to-do-if-you-are-missing-a-w-2,Here is What to do If You Are Missing a W-2,36
nasa.gov/feature/goddard/2016/new-x-ray-space-observatory-to-study-black-holes-and-history-of-galaxy-clusters/,Space Observatory to Study Black Holes and Galaxy Clusters | NASA,36
travel.state.gov/content/passports/en/contact-us.html,Contact Us,36
usahire.opm.gov/do/sjt1,USA Hire,36
uscis.gov/i-131,Application for Travel Document | USCIS,36
usembassy.gov/,Home | USEmbassy.gov,36
cbp.gov/travel/trusted-traveler-programs/global-entry/how-apply,How to Apply for Global Entry | U.S. Customs and Border Protection,35
cdc.gov/std/bv/stdfact-bacterial-vaginosis.htm,STD Facts - Bacterial Vaginosis,35
ceac.state.gov/genniv/help/help.aspx,Nonimmigrant Visa - Help,35
gsaauctions.gov/gsaauctions/gsaauctions/,"GSA Auctions, General Services Administration, Government Site for Auctions",35
irs.gov/uac/taxpayer-identity-verification-information,Information You Need to Verify Your Identity,35
nlm.nih.gov/medlineplus/spanish/ency/article/000256.htm,Apendicitis : MedlinePlus enciclopedia mÃ©dica,35
nlm.nih.gov/medlineplus/spanish/ency/article/000521.htm,InfecciÃ_n urinaria en adultos: MedlinePlus enciclopedia mÃ©dica,35
nlm.nih.gov/medlineplus/spanish/ency/article/001511.htm,Candidosis vaginal: MedlinePlus enciclopedia mÃ©dica,35
studentaid.ed.gov/sa/resources/loan-grant-fact-sheets,Loan and Grant Fact Sheets | Federal Student Aid,35
studentaid.ed.gov/sa/types/grants-scholarships/pell,Federal Pell Grants | Federal Student Aid,35
wrh.noaa.gov/satellite/?wfo=mtr,National Weather Service - NWS San Francisco/Monterey Bay Area,35
aphis.usda.gov/aphis/home/,USDA APHIS | Home Landing Page,34
ceac.state.gov/genniv/common/thankyou.aspx,Consular Electronic Application Center - Thank You,34
irs.gov/uac/about-form-1095-a,"Form 1095-A, Health Insurance Marketplace Statement",34
irs.gov/uac/about-form-4506t,"Form 4506-T, Request for Transcript of Tax Return",34
myhealthevet.va.gov/index.html,My HealtheVet - The Gateway to Veteran Health and Wellness,34
nlm.nih.gov/medlineplus/spanish/ency/article/000684.htm,SÃ_ndrome de Guillain-BarrÃ©: MedlinePlus enciclopedia mÃ©dica,34
petitions.whitehouse.gov/thank-you/2202961,Thank You | We the People: Your Voice in Our Government,34
quickfacts.census.gov/qfd/states/00000.html,USA QuickFacts from the US Census Bureau,34
socialsecurity.gov/medicare/apply.html,Medicare Benefits - How to Apply Online Even if You Are not Ready to Retire,34
blogs.va.gov/vantage/25855/the-appeals-process-appeals-at-the-board-of-veterans-appeals-board/,The appeals process: Appeals at the Board of Veteransâ€™ Appeals - VAntage Point,33
data.bls.gov/pdq/surveyoutputservlet,Bureau of Labor Statistics Data,33
faq.ssa.gov/link/portal/34011/34019/article/3739/what-happens-if-i-work-and-get-social-security-retirement-benefits,What happens if I work and get Social Security retirement benefits?,33
gsaauctions.gov/gsaauctions/aucitsrh/,"GSA Auctions, General Services Administration, Government Site for Auctions",33
irs.gov/uac/about-form-1040x,"Form 1040X, Amended U.S. Individual Income Tax Return",33
studentaid.ed.gov/sa/types/loans/subsidized-unsubsidized,Subsidized and Unsubsidized Loans | Federal Student Aid,33
travel.state.gov/content/visas/en/law-and-policy/bulletin/2016/visa-bulletin-for-february-2016.html,Visa Bulletin For February 2016,33
www3.epa.gov/,US Environmental Protection Agency,33
benefits.va.gov/benefits/,Veterans Benefits Administration Home,32
consumer.ftc.gov/articles/0108-national-do-not-call-registry,National Do Not Call Registry | Consumer Information,32
drugabuse.gov/publications/drugfacts/marijuana,DrugFacts: Marijuana | National Institute on Drug Abuse (NIDA),32
irs.gov/uac/about-form-w2,"Form W-2, Wage and Tax Statement",32
nasa.gov/image-feature/commercial-crew-partner-boeing-tests-starliner-spacecraft/,Commercial Crew Partner Boeing Tests Starliner Spacecraft | NASA,32
socialsecurity.gov/agency/contact/phone.html,Contact Social Security By Phone,32
ssa.gov/medicare/apply.html,Medicare Benefits - How to Apply Online Even if You Are not Ready to Retire,32
state.gov/,U.S. Department of State,32
usajobs.gov/getjob/viewdetails/423817000,USAJOBS - Search Jobs,32
wrh.noaa.gov/mtr/,National Weather Service - NWS San Francisco/Monterey Bay Area,32
wrh.noaa.gov/sew/,National Weather Service - NWS Seattle,32
wrh.noaa.gov/sto/,National Weather Service - NWS Sacramento,32
choosemyplate.gov/vegetables,All about the Vegetable Group | Choose MyPlate,31
e-verify.uscis.gov/emp/cpshome.aspx,E-Verify - Home Page,31
fws.gov/,U.S. Fish and Wildlife Service,31
gsaauctions.gov/gsaauctions/aucindx/,"GSA Auctions, General Services Administration, Government Site for Auctions",31
irs.gov/publications/p501/ar02.html,"Publication 501 (2015), Exemptions, Standard Deduction, and Filing Information",31
irs.gov/uac/about-schedule-a-form-1040,"Schedule A (Form 1040), Itemized Deductions",31
lewis-mcchord.army.mil/,Joint Base Lewis-McChord,31
nlm.nih.gov/medlineplus/spanish/druginfo/meds/a697038-es.html,Loratadina: MedlinePlus medicinas,31
opm.gov/search/,Search,31
travel.state.gov/content/visas/en/law-and-policy/bulletin.html,Visa Bulletin,31
whitehouse.gov/participate/tours-and-events,Tours & Events | whitehouse.gov,31
benefits.va.gov/warms/pam26_7.asp,Lenders Handbook - VA Pamphlet 26-7 - Web Automated Reference Material System,30
cdc.gov/zika/geo/americas.html,Countries & Territories in the Americas with Active Local Zika Virus Transmission | Zika virus | CDC,30
ceac.state.gov/genniv/general/complete/complete_securityandbackground3.aspx?node=securityandbackground3,Nonimmigrant Visa - Security and Background: Part 3,30
ceac.state.gov/iv/ivsummary.aspx,Immigrant Visa - Summary Information,30
choosemyplate.gov/myplate,MyPlate | Choose MyPlate,30
faq.ssa.gov/ics/support/kbanswer.asp?questionid=3705,Selected Topic,30
fbo.gov/,Home - Federal Business Opportunities: Home,30
irs.gov/individuals/general-itin-information,General ITIN Information,30
irs.gov/instructions/i109495c/ar01.html,Instructions for Forms 1094-C and 1095-C (2015),30
irs.gov/payments/finding-out-how-much-you-owe,Finding Out How Much You Owe,30
"irs.gov/retirement-plans/plan-participant,-employee/retirement-topics-ira-contribution-limits",Retirement Topics - IRA Contribution Limits,30
irs.gov/uac/contact-my-local-office-in-texas,Contact My Local Office in Texas,30
irs.gov/uac/report-phishing,Report Phishing and Online Scams,30
irs.gov/uac/tools,Tools,30
mobile.weather.gov/,NWS Mobile Weather,30
myhealth.va.gov/mhv-portal-web/mhv.portal?_nfpb=true&_nfto=false&_pagelabel=securemessagingpage,My HealtheVet,30
nlm.nih.gov/medlineplus/,MedlinePlus - Health Information from the National Library of Medicine,30
nlm.nih.gov/medlineplus/spanish/ency/article/003475.htm,Examen de creatinina en la sangre: MedlinePlus enciclopedia mÃ©dica,30
opm.gov/policy-data-oversight/snow-dismissal-procedures/federal-holidays/,Federal Holidays,30
selectionmanager.usastaffing.gov/account/logout,Selection Manager - Powered by USA Staffing,30
sm.myhealth.va.gov/mhv-sm-web/reply.action,My HealtheVet - Secure Messaging - Read Message,30
socialsecurity.gov/planners/benefitcalculators.html,Calculators,30
travel.state.gov/content/passports/en/passports/services/expedited.html,Get a Passport in a Hurry,30
usbr.gov/,Bureau of Reclamation,30
uscis.gov/greencard,Green Card | USCIS,30
uscis.gov/i-9,Employment Eligibility Verification | USCIS,30
uspto.gov/learning-and-resources/fees-and-payment/uspto-fee-schedule,USPTO Fee Schedule | USPTO,30
archives.gov/exhibits/charters/bill_of_rights_transcript.html,Bill of Rights Transcript Text,29
cdc.gov/norovirus/about/symptoms.html,Norovirus | Symptoms | CDC,29
cdc.gov/std/spanish/gonorrea/stdfact-gonorrhea-s.htm,Gonorrea - Enfermedades de transmisiÃ_n sexual,29
cdc.gov/std/spanish/herpes/stdfact-herpes-s.htm,Herpes genital - Enfermedades de transmisiÃ_n sexual,29
cdc.gov/std/trichomonas/stdfact-trichomoniasis.htm,STD Facts - Trichomoniasis,29
ceac.state.gov/genniv/general/complete/complete_securityandbackground5.aspx?node=securityandbackground5,Nonimmigrant Visa - Security and Background: Part 5,29
ed.gov/,Home | U.S. Department of Education,29
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 43.99Â°N and Longitude 121.68Â°W (Elev. 7638 ft),29
hhs.gov/ohrp/humansubjects/guidance/belmont.html,The Belmont Report | HHS.gov,29
irs.gov/credits-&-deductions/individuals/earned-income-tax-credit/eitc-income-limits-maximum-credit-amounts-next-year,"2016 EITC Income Limits, Maximum Credit Amounts and Tax Law Updates",29
nih.gov/news-events/news-releases/diabetes-drug-may-prevent-recurring-strokes,Diabetes drug may prevent recurring strokes | National Institutes of Health (NIH),29
ssai.usajobs.gov/,USAJOBS - The Federal Governmentâ€™s Official Jobs Site,29
travel.state.gov/content/passports/en/passports/information/application-status.html,Application Status,29
travel.state.gov/content/passports/en/passports/services/correction.html,Change or Correct a Passport,29
usa.gov/passport,Getting or Renewing a U.S. Passport | USA.gov,29
usajobs.gov/account/forgotpassword,USAJOBS - I forgot,29
uscis.gov/e-verify,E-Verify | USCIS,29
weather.gov/mpx/,"Twin Cities, MN",29
wrh.noaa.gov/rev/,"National Weather Service - Reno, NV",29
apod.nasa.gov/apod/,Astronomy Picture of the Day,28
faq.ssa.gov/link/portal/34011/34019/article/3749/how-do-i-change-or-correct-my-name-on-my-social-security-number-card,How do I change or correct my name on my Social Security number card?,28
irs.gov/uac/irs-urges-public-to-stay-alert-for-scam-phone-calls,IRS Urges Public to Stay Alert for Scam Phone Calls,28
myhealth.va.gov/mhv-portal-web/mhv.portal?_nfpb=true&_windowlabel=activeprescription&activeprescription_actionoverride=/gov/va/med/mhv/rxrefill/portlet/submitrefillaction&_pagelabel=refillprescriptions,My HealtheVet,28
nccd.cdc.gov/dnpabmi/calculator.aspx,Body Mass Index BMI (BMI) Percentile Calculator for Child and Teen | DNPAO | CDC,28
oig.hhs.gov/,Office of Inspector General | U.S. Department of Health and Human Services,28
opm.gov/policy-data-oversight/data-analysis-documentation/personnel-documentation/,Personnel Documentation,28
petitions.whitehouse.gov/petition/award-bob-feller-presidential-medal-freedom-his-military-service-during-world-war-ii,Award Bob Feller the Presidential Medal of Freedom for his military service during World War II | We the People: Your Voice in Our Government,28
socialsecurity.gov/myaccount/lp/landing-page-re.html,Find Out More About Your Future Benefits With a my Social Security Account,28
studentaid.ed.gov/sa/repay-loans/deferment-forbearance,Deferment and Forbearance | Federal Student Aid,28
treasury.gov/tigta/contact_report_scam_ok.shtml,Contact: IRS Impersonation Scam Reporting - U.S. Treasury Inspector General for Tax Administration (TIGTA),28
tsa.gov/for-industry/twic,TWICÂ® | Transportation Security Administration,28
uscis.gov/citizenship/teachers/educational-products/100-civics-questions-and-answers-mp3-audio-english-version,100 Civics Questions and Answers with MP3 Audio (English version) | USCIS,28
apps.irs.gov/app/scripts/exit.jsp?dest=http://www.freetaxact.com/alltax.asp?sc=15050302,IRS Disclaimer,27
benefits.gov/,Benefits.gov - Your Path to Government Benefits,27
bls.gov/ooh/a-z-index.htm,A-Z Index : Occupational Outlook Handbook: : U.S. Bureau of Labor Statistics,27
bop.gov/mobile/find_inmate/,BOP: Federal Inmates By Number,27
cdc.gov/spanish/especialescdc/sintomastuberculosis/,Enfermedad de tuberculosis (TB): SÃ_ntomas y factores de riesgo - Especiales CDC - CDC en EspaÃ±ol,27
ceac.state.gov/ctrac/invoice/receipt.aspx?node=receipt,Receipt Page,27
ebenefits.va.gov/ebenefits/vonapp,Veteran On-Line Application (VONAPP) - eBenefits,27
egov.uscis.gov/casestatus/mycasestatus.do,myUSCIS - Case Status Search,27
fbo.gov/index?s=opportunity&mode=list,Opportunities - Federal Business Opportunities: Opportunities,27
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 40.71Â°N and Longitude 73.98Â°W (Elev. 26 ft),27
irs.gov/businesses/small-businesses-&-self-employed/lost-or-misplaced-your-ein,Lost or Misplaced Your EIN?,27
irs.gov/individuals/employees/understanding-your-5071c-letter,Understanding Your 5071C Letter,27
irs.gov/uac/forms-and-publications-by-u.s.-mail,Forms and Publications by U.S. Mail,27
nlm.nih.gov/medlineplus/spanish/ency/article/000680.htm,Meningitis: MedlinePlus enciclopedia mÃ©dica,27
nlm.nih.gov/medlineplus/spanish/ency/article/001982.htm,Temperatura corporal normal: MedlinePlus enciclopedia mÃ©dica,27
nlm.nih.gov/medlineplus/spanish/ency/article/003097.htm,Ganglios linfÃ¡ticos inflamados: MedlinePlus enciclopedia mÃ©dica,27
rd.usda.gov/programs-services/single-family-housing-guaranteed-loan-program,Single Family Housing Guaranteed Loan Program | USDA Rural Development,27
socialsecurity.gov/disabilityssi/apply.html,Apply Online for Disability Benefits,27
socialsecurity.gov/forms/,Forms,27
socialsecurity.gov/myaccount/lp/landing-page-iclaim-submit.html,Manage Your Benefits With A my Social Security Account,27
studentaid.ed.gov/sa/about,About Us | Federal Student Aid,27
travel.state.gov/content/passports/en/alertswarnings/mexico-travel-warning.html,Mexico Travel Warning,27
treasury.gov/resource-center/sanctions/sdn-list/pages/default.aspx,Specially Designated Nationals List (SDN),27
uscis.gov/file-online/log-online-filing,Log in to Online Filing | USCIS,27
usmarshals.gov/,U.S. Marshals Home Page,27
careers.state.gov/work/opportunities/vacancy-announcements/elo?source=govdelivery,English Language Officer - U.S. Department of State,26
cdc.gov/vaccines/schedules/easy-to-read/child.html,Immunization Schedules for Children in Easy-to-read Formats | CDC,26
choosemyplate.gov/protein-foods,All about the Protein Foods Group | Choose MyPlate,26
e-verify.uscis.gov/emp/vislogin.aspx?js=yes,E-Verify - Home Page,26
efast.dol.gov/welcome.html,EFAST2 Filing - Welcome,26
espanol.cdc.gov/enes/flu/takingcare.htm,La influenza: Lo que debe hacer en caso de enfermarse | Influenza estacional | CDC,26
faq.ssa.gov/ics/support/kbanswer.asp?questionid=3749,Selected Topic,26
ic3.gov/default.aspx,Internet Crime Complaint Center (IC3) | Home,26
irs.gov/credits-&-deductions/individuals/earned-income-tax-credit/do-i-qualify-for-earned-income-tax-credit-eitc,Do I Qualify for EITC?,26
irs.gov/uac/taxpayer-guide-to-identity-theft,Taxpayer Guide to Identity Theft,26
nlm.nih.gov/medlineplus/spanish/ency/article/001504.htm,Quistes ovÃ¡ricos: MedlinePlus enciclopedia mÃ©dica,26
npdb.hrsa.gov/,The NPDB - Health Care Organizations Sign In,26
nps.gov/index.htm,National Park Service,26
portal.hud.gov/hudportal/hud?src=/topics/homes_for_sale,Homes for Sale/U.S. Department of Housing and Urban Development (HUD),26
ssa.gov/forms/,Forms,26
weather.gov/box/,"Boston, MA",26
weather.gov/lwx/,"Sterling, VA",26
weather.gov/lwx/winter,Winter Weather,26
bls.gov/cpi/,Consumer Price Index (CPI),25
ceac.state.gov/ctrac/invoice/invoice.aspx?node=invoice,Invoice Page,25
ceac.state.gov/ivapp/ivapp/complete/complete_contact.aspx?node=addressphone1,Immigrant Visa - Present and Previous Address Information,25
consumer.ftc.gov/features/feature-0014-identity-theft,Identity Theft | Consumer Information,25
cpsc.gov/en/recalls/2016/michaels-recalls-artificial-poinsettias/,Michaels Recalls Artificial Poinsettias Due to Risk of Mold Exposure | CPSC.gov,25
earthquake.usgs.gov/earthquakes/eventpage/nc72592670,"M4.8 - 10km WNW of Big Pine, California",25
faa.gov/search/?omni=mainsearch,Search Results,25
fec.gov/finance/disclosure/candcmte_info.shtml,Committee/Candidate Search,25
flu.gov/symptoms-treatment/,Symptoms & Treatment | Flu.gov,25
fmcsa.dot.gov/,Federal Motor Carrier Safety Administration,25
irs.gov/advocate/local-taxpayer-advocate,Contact Your Local Taxpayer Advocate,25
irs.gov/individuals/how-do-you-report-suspected-tax-fraud-activity,How Do You Report Suspected Tax Fraud Activity?,25
irs.gov/individuals/offer-in-compromise-1,Offer in Compromise,25
irs.gov/refunds/what-to-expect-for-refunds-this-year,What to Expect for Refunds in 2016,25
irs.gov/uac/newsroom/new-standard-mileage-rates-now-available,New Standard Mileage Rates Now Available; Business Rate to Rise in 2015,25
li-public.fmcsa.dot.gov/liview/pkg_carrquery.prc_carrlist,Carrier Search,25
myhealth.va.gov/mhv-portal-web/anonymous.portal?_nfpb=true&_nfto=false&_pagelabel=mhvhome,My HealtheVet,25
nlm.nih.gov/medlineplus/spanish/ency/article/000468.htm,HipertensiÃ_n arterial: MedlinePlus enciclopedia mÃ©dica,25
nsopw.gov/en-us/search,Search,25
oceanservice.noaa.gov/facts/pacific.html,How did the Pacific Ocean get its name?,25
onboarding.usastaffing.gov/default.aspx,Home Page,25
opm.gov/policy-data-oversight/pay-leave/salaries-wages/,Salaries & Wages,25
petitions.whitehouse.gov/petition/tell-epa-withdraw-its-proposal-prohibit-conversion-vehicles-racecars-0,Tell the EPA to Withdraw Its Proposal to Prohibit the Conversion of Vehicles Into Racecars | We the People: Your Voice in Our Government,25
sm.myhealth.va.gov/mhv-sm-web/replysubmit.action,My HealtheVet - Secure Messaging - Inbox,25
spotthestation.nasa.gov/sightings/,ISS sightings over your city | Spot The Station | NASA,25
studentaid.ed.gov/sa/fafsa/estimate,Estimate Your Aid | Federal Student Aid,25
studentaid.ed.gov/sa/fafsa/filling-out,Filling Out the FAFSA | Federal Student Aid,25
studentaid.ed.gov/sa/repay-loans/forgiveness-cancellation/teacher,Teacher Loan Forgiveness | Federal Student Aid,25
studentaid.ed.gov/sa/repay-loans/understand/plans,Repayment Plans | Federal Student Aid,25
studentaid.ed.gov/sa/types/grants-scholarships/finding-scholarships,Finding and Applying for Scholarships | Federal Student Aid,25
travel.state.gov/content/visas/en/immigrate/immigrant-process/documents/step_4_collect_financial_documents.html,Collect Financial Documents,25
travel.state.gov/content/visas/en/visit/visa-waiver-program.html,Visa Waiver Program,25
weather.gov/okx/,"New York, NY",25
wrh.noaa.gov/hnx/,National Weather Service - NWS Hanford,25
apps.irs.gov/app/scripts/exit.jsp?dest=https://www.pay1040.com/,IRS Disclaimer,24
cdc.gov/rsv/,RSV | Home | Respiratory Syncytial Virus | CDC,24
cdc.gov/zika/transmission/index.html,Transmission | Zika virus | CDC,24
ceac.state.gov/genniv/general/complete/complete_securityandbackground2.aspx?node=securityandbackground2,Nonimmigrant Visa - Security and Background: Part 2,24
dhs.gov/,Homeland Security,24
faq.ssa.gov/link/portal/34011/34019/article/3754/what-is-the-eligibility-for-social-security-spouse-s-benefits-and-my-own-retirement-benefits,What is the eligibility for Social Security spouseâ€™s benefits and my own retirement benefits?,24
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 44.95Â°N and Longitude 93.28Â°W (Elev. 886 ft),24
ftccomplaintassistant.gov/,#NAME?,24
irs.gov/publications/p969/ar02.html,"Publication 969 (2015), Health Savings Accounts and Other Tax-Favored Health Plans",24
irs.gov/uac/about-form-1040a,"Form 1040A, U.S. Individual Income Tax Return",24
jpl.nasa.gov/,"NASA Jet Propulsion Laboratory (JPL) - Space Mission and Science News, Videos and Images",24
nlm.nih.gov/medlineplus/spanish/ency/article/000606.htm,Herpes oral: MedlinePlus enciclopedia mÃ©dica,24
nlm.nih.gov/medlineplus/spanish/ency/article/001374.htm,Fiebre del dengue: MedlinePlus enciclopedia mÃ©dica,24
nlm.nih.gov/medlineplus/spanish/ency/article/003684.htm,Examen de la hormona estimulante de la tiroides (TSH): MedlinePlus enciclopedia mÃ©dica,24
npdb.hrsa.gov/login.jsp,The NPDB - Health Care Organizations Sign In,24
rd.usda.gov/,USDA Rural Development,24
sam.gov/portal/sam/,System for Award Management,24
sba.gov/,U.S. Small Business Administration | The U.S. Small Business Administration | SBA.gov,24
ssa.gov/ar/,Appointed Representative Services,24
ssa.gov/planners/taxes.html,Benefits Planner: Income Taxes And Your Social Security Benefits,24
ssa.gov/ssi/,Supplemental Security Income,24
studentaid.ed.gov/sa/repay-loans,How to Repay Your Loans | Federal Student Aid,24
tsa.gov/tsa-precheck/faq,TSA Preâœ“Â® FAQ | Transportation Security Administration,24
apps.irs.gov/app/picklist/list/federalrates.html,Index of Applicable Federal Rates (AFR) Rulings,23
cdc.gov/hand-foot-mouth/,Hand Foot and Mouth Disease | Home | HFMD | CDC,23
ceac.state.gov/ctrac/invoice/signout.aspx,Sign Out Page,23
ceac.state.gov/genniv/general/complete/complete_family2.aspx?node=spouse,Nonimmigrant Visa - Family Information: Spouse,23
climate.nasa.gov/effects/,Climate Change: Vital Signs of the Planet: Effects,23
eauth.va.gov/ebenefits/coe,Certificate of Eligibility - eBenefits,23
egov.uscis.gov/casestatus/logon.do,myUSCIS - My Cases,23
faq.ssa.gov/ics/support/kbanswer.asp?questionid=3704,Selected Topic,23
irs.gov/businesses/small-businesses-&-self-employed/frequently-asked-questions-on-gift-taxes,Frequently Asked Questions on Gift Taxes,23
irs.gov/uac/about-form-8962,"Form 8962, Premium Tax Credit (PTC)",23
irs.gov/uac/newsroom/taxpayers-receiving-identity-verification-letter-should-use-idverifyirsgov,Taxpayers Receiving Identity Verification Letter Should Use IDVerify.irs.gov,23
irs.gov/uac/where-to-file-paper-tax-returns-with-or-without-a-payment,Where to File Paper Tax Returns - With or Without a Payment,23
nasa.gov/multimedia/nasatv/index.html,NASA Television | NASA,23
nlm.nih.gov/medlineplus/spanish/ency/article/000356.htm,Hipertiroidismo: MedlinePlus enciclopedia mÃ©dica,23
nlm.nih.gov/medlineplus/spanish/ency/article/003120.htm,Dolor abdominal: MedlinePlus enciclopedia mÃ©dica,23
nlm.nih.gov/medlineplus/spanish/ency/patientinstructions/000424.htm,Signos de peligro con los dolores de cabeza: MedlinePlus enciclopedia mÃ©dica,23
nsopw.gov/?aspxautodetectcookiesupport=1,United States Department of Justice National Sex Offender Public Website,23
opm.gov/policy-data-oversight/classification-qualifications/general-schedule-qualification-standards/,General Schedule Qualification Standards,23
portal.hud.gov/hudportal/hud?src=/program_offices/housing/sfh/handbook_4000-1,SFH Handbook 4000.1,23
public-prod-elis2.uscis.dhs.gov/efile/app/app/iv/#!/,USCIS,23
sam.gov/https://www.sam.gov/portal/sam/,System for Award Management,23
socialsecurity.gov/ar/,Appointed Representative Services,23
studentaid.ed.gov/sa/contact,Contact Us | Federal Student Aid,23
wrh.noaa.gov/slc/,National Weather Service - NWS Salt Lake City,23
apps.irs.gov/app/scripts/exit.jsp?dest=https://click.google-analytics.com/redirect?tid=ua-27043792-2&url=https://itunes.apple.com/us/app/irs2go/id414113282&aid=gov.irs.irs2go&cs=irspup&cm=landing-page,IRS Disclaimer,22
ar.usembassy.gov/es/visados/turismo-y-visitantes/tipo-de-tramite/,Tipo de trÃ¡mite y cÃ_mo presentar su solicitud | Embajada de Estados Unidos en Argentina,22
benefits.va.gov/homeloans/,Home Loans Home,22
cdc.gov/flu/takingcare.htm,The Flu: What To Do If You Get Sick | Seasonal Influenza (Flu) | CDC,22
cdc.gov/mmwr/volumes/65/wr/mm6505e1.htm,"Interim Guidelines for Prevention of Sexual Transmission of Zika Virus â€” United States, 2016 | MMWR",22
cdc.gov/std/herpes/stdfact-herpes-detailed.htm,STD Facts - Genital Herpes (Detailed version),22
cdc.gov/std/spanish/clamidia/stdfact-chlamydia-s.htm,Clamidia - Enfermedades de transmisiÃ_n sexual,22
cdc.gov/std/spanish/vph/stdfact-hpv-and-men-s.htm,El VPH y los hombres - Enfermedades de transmisiÃ_n sexual,22
epa.gov/epcra/state-tier-ii-reporting-requirements-and-procedures,State Tier II Reporting Requirements and Procedures | Emergency Planning and Community Right-to-Know Act (EPCRA) | US EPA,22
fec.gov/finance/disclosure/norindsea.shtml,Search Campaign Finance Data by Individual Contributor,22
"irs.gov/credits-&-deductions/individuals/earned-income-tax-credit/eitc,-earned-income-tax-credit,-questions-and-answers","EITC, Earned Income Tax Credit, Questions and Answers",22
irs.gov/filing/e-file-options,E-File Options for Individuals,22
irs.gov/individuals/get-transcript-faqs,Get Transcript FAQs,22
irs.gov/individuals/get-your-refund-faster-tell-irs-to-direct-deposit-your-refund-to-one-two-or-three-accounts,Direct Deposit Your Refund,22
irs.gov/taxtopics/tc151.html,Tax Topics - Topic 151 Your Appeal Rights,22
irs.gov/uac/american-opportunity-tax-credit:-questions-and-answers,American Opportunity Tax Credit: Questions and Answers,22
my.usajobs.gov/applicant/savedjobs/listsavedjobs,USAJOBS - Saved Jobs,22
nlm.nih.gov/medlineplus/ency/article/003206.htm,Numbness and tingling: MedlinePlus Medical Encyclopedia,22
nlm.nih.gov/medlineplus/spanish/druginfo/meds/a685024-es.html,Amoxicilina y ÃÅcido ClavulÃ¡nico: MedlinePlus medicinas,22
nlm.nih.gov/medlineplus/spanish/druginfo/meds/a697037-es.html,Azitromicina: MedlinePlus medicinas,22
nlm.nih.gov/medlineplus/spanish/ency/article/000353.htm,Hipotiroidismo: MedlinePlus enciclopedia mÃ©dica,22
nlm.nih.gov/medlineplus/spanish/ency/patientinstructions/000386.htm,ExÃ¡menes de colesterol y sus resultados: MedlinePlus enciclopedia mÃ©dica,22
regulations.gov/,Regulations.gov - Comment,22
sm.myhealth.va.gov/mhv-sm-web/sendmessage.action,My HealtheVet - Secure Messaging - Inbox,22
travel.state.gov/content/passports/en/passports/information/card.html,Passport Card,22
treasurydirect.gov/,TreasuryDirect - Home,22
tsa.gov/travel/security-screening/prohibited-items,Prohibited Items | Transportation Security Administration,22
tsa.gov/travel/travel-tips,Travel Tips | Transportation Security Administration,22
uscis.gov/i-864p,Poverty Guidelines | USCIS,22
uscis.gov/i-912,Request for Fee Waiver | USCIS,22
weather.gov/dmx/,"Des Moines, IA",22
weather.gov/satellite,Satellite Images,22
